77.79,79.37,106.3,102.84,91.57500000000002,40.815552700005355,16:01:58
77.96,79.46,106.48,103.09,91.7475,41.34392959999968,16:01:58
78.05,79.66,106.85,103.61,92.04249999999999,41.87404159999278,16:01:59
78.3,79.92,107.21,104.04,92.3675,42.41331699999864,16:01:59
78.47,80.04,107.4,104.28,92.54749999999999,42.915381400001934,16:02:00
78.73,80.4,107.94,104.94,93.0025,43.43423299999267,16:02:00
78.82,80.51,108.13,105.2,93.16499999999999,43.96469929999148,16:02:01
78.76,80.48,108.06,105.2,93.125,44.494898499993724,16:02:01
78.86,80.57,108.4,105.61,93.36000000000001,45.02502149999782,16:02:02
78.85,80.59,108.49,105.75,93.42,45.532789299992146,16:02:02
79.03,80.79,108.66,105.98,93.61500000000001,46.046802800003206,16:02:03
79.13,80.92,109.0,106.42,93.8675,46.578945200002636,16:02:03
79.21,81.02,109.18,106.66,94.01749999999998,47.108749699997134,16:02:04
79.34,81.17,109.48,106.82,94.2025,47.63896670000395,16:02:04
79.42,81.28,109.65,107.25,94.4,48.16892110000481,16:02:05
79.54,81.39,109.83,107.49,94.5625,48.6803152999928,16:02:05
79.56,81.44,110.01,107.55,94.64,49.19488690000435,16:02:06
79.65,81.56,110.18,107.97,94.84,49.721333499997854,16:02:07
79.85,81.69,110.38,108.18,95.02499999999999,50.25196439999854,16:02:07
79.94,81.89,110.69,108.57,95.2725,50.781888500001514,16:02:08
80.16,82.12,110.99,108.89,95.53999999999999,51.318046200001845,16:02:08
80.32,82.32,111.15,109.09,95.72,51.84756429999834,16:02:09
80.27,82.26,111.32,109.31,95.79,52.356298600003356,16:02:09
80.37,82.37,111.48,109.51,95.9325,52.86894939999911,16:02:10
80.72,82.75,111.83,109.87,96.2925,53.398904000001494,16:02:10
80.82,82.85,112.15,110.23,96.5125,53.92987880000146,16:02:11
81.0,83.05,112.42,110.53,96.75,54.44089019999956,16:02:11
81.19,83.26,112.59,110.69,96.93249999999999,54.95574989999295,16:02:12
81.05,83.14,112.67,110.79,96.91250000000001,55.48406940000132,16:02:12
81.15,83.25,112.81,110.98,97.04750000000001,56.01420560000406,16:02:13
81.58,83.72,113.39,111.41,97.525,56.54600770000252,16:02:13
81.67,83.82,113.52,111.74,97.6875,57.074194000000716,16:02:14
81.76,83.94,113.7,111.92,97.83,57.58690690000367,16:02:14
81.97,84.14,113.99,112.06,98.04,58.09688179999648,16:02:15
82.16,84.36,114.26,112.49,98.3175,58.62669669999741,16:02:15
82.35,84.47,114.42,112.65,98.4725,59.1566693999921,16:02:16
82.21,84.45,114.48,112.72,98.465,59.68488640000578,16:02:16
82.6,84.87,114.97,113.21,98.9125,60.192015199994785,16:02:17
82.78,84.98,115.12,113.36,99.06,60.70690910000121,16:02:18
82.51,84.83,115.05,113.26,98.9125,61.24262699999963,16:02:18
82.6,84.93,115.21,113.39,99.0325,61.77272900000389,16:02:19
82.93,85.3,115.51,113.71,99.3625,62.30197020000196,16:02:19
83.03,85.39,115.82,113.97,99.55250000000001,62.83078259999456,16:02:20
